ev_id,trip_index,location_zone,location_type,arrival_min,departure_min,charged_kwh,deferrable_kwh,max_delay_min
516,1,4,H,1065.179932010204,1440,3.2291182868519304,3.2291182868519304,347.9107489326966
517,1,19,H,748.902351755102,1440,6.866679860695674,6.866679860695674,633.8753160724341
518,1,13,H,1083.6689865469389,1440,9.32262644357801,9.32262644357801,278.64245975657764
522,0,6,W,464.66409123265305,1051,13.136721479912222,13.136721479912222,514.6810643314622
523,1,18,H,1052.3676409142856,1440,0.7830115060389566,0.7830115060389566,381.1072632020564
526,0,22,W,450.30582685714285,1057,10.91048791751147,10.91048791751147,547.1824208655219
527,1,24,H,1043.0427380571427,1440,0.16846942820797395,0.16846942820797395,395.5533500411241
528,0,20,W,439.3514452653061,1049,8.676567249635927,8.676567249635927,562.3218242821343
529,1,19,H,1053.6056234693879,1440,1.3105911390624527,1.3105911390624527,375.4727837050916
530,1,7,H,598.3610296,1440,4.910482804457338,4.910482804457338,800.7182803628554
531,1,9,H,1084.1157154081632,1440,4.878666224660485,4.878666224660485,315.22873271966614
532,1,18,H,1075.902342367347,1440,10.031452922767857,10.031452922767857,280.50221660958755
533,1,6,H,1072.3353357061224,1440,8.184484829025052,8.184484829025052,299.46062405200223
535,0,23,W,452.26554030612243,1042,7.321940845954801,7.321940845954801,549.7966005341241
536,1,15,H,1049.3570296163266,1440,6.276970999880447,6.276970999880447,338.334878718003
537,1,3,H,1062.725216155102,1440,5.6227887065979765,5.6227887065979765,330.4182112899148
538,1,24,H,1060.8932312489796,1440,4.787946170338024,4.787946170338024,339.20721733153687
539,0,12,W,454.2728267632653,1046,10.17086653370715,10.17086653370715,536.2497194165139
539,1,15,H,1068.3160519142857,1440,3.0917293449440812,3.0917293449440812,345.9195368778469
540,0,12,W,504.9143371265306,1053,9.827744732312444,9.827744732312444,494.4797825154015
542,1,19,H,1067.7353044571428,1440,8.047341596740198,8.047341596740198,305.2035155700223
543,1,11,H,1091.6858420408164,1440,9.822170150966908,9.822170150966908,266.46274003445933
544,0,6,W,445.3625872,1064,13.297546184720963,13.297546184720963,546.105342701522
546,1,4,H,1051.6737760081633,1440,6.517777958728441,6.517777958728441,334.01140766909975
549,1,15,H,1046.8048087163265,1440,6.777311429520823,6.777311429520823,336.7175960376667
550,1,16,H,1061.351669867347,1440,0.3277185648722565,0.3277185648722565,375.91734209205083
