ev_id,trip_index,fcs_zone,arrival_min,departure_min,charged_kwh,cost
840,1,17,1033.7508670918367,1041.2011368099706,12.250269718134104,4.900107887253644
842,0,9,1079.7544112244898,1088.7306704411342,13.776259216644346,5.510503686657741
844,1,13,1052.0,1059.8169022543498,12.616902254349743,5.0467609017398996
845,1,5,1038.0,1042.7189136638417,9.518913663841678,3.807565465536673
846,0,15,433.0,442.5042037440789,14.304203744078889,5.721681497631558
847,1,16,1059.7054490408163,1063.7467383093033,8.841289268486898,3.536515707394761
852,1,8,1295.8000431020407,1302.4766066105587,11.476563508517941,4.590625403407179
854,1,2,1039.0,1047.7269925733824,13.526992573382389,5.410797029352958
855,0,10,926.0,934.94034869385,13.740348693849977,5.496139477539994
859,0,12,454.0,462.9619520725478,13.761952072547789,5.5047808290191185
860,1,1,1158.0,1165.255704142639,12.05570414263898,4.822281657055594
863,1,9,1051.7556150510204,1058.313965762703,11.358350711682576,4.543340284673032
865,1,9,1066.0,1075.1006736444192,13.900673644419156,5.560269457767665
867,1,24,1045.7315632,1054.9113953568842,13.979832156884328,5.591932862753734
869,1,24,1043.0,1047.9184878492697,9.718487849269799,3.8873951397079214
872,1,23,1040.0,1044.547599326137,9.347599326137107,3.7390397304548446
875,1,9,805.0,814.4073823627089,14.20738236270889,5.682952945083558
877,1,15,1049.0,1057.4518276485255,13.251827648525566,5.300731059410229
879,1,23,1070.7518857142857,1074.6909059354248,8.73902022113902,3.4956080884556098
881,0,19,442.0,446.06365697096555,8.863656970965543,3.545462788386219
883,0,14,452.35115230612246,461.28403515911725,13.732882852994775,5.493153141197912
890,1,18,1042.0,1048.7458706736306,11.545870673630528,4.6183482694522136
891,1,15,1095.503274744898,1101.76029977266,11.057025027761991,4.422810011104799
892,1,3,1058.0,1064.3644410713678,11.164441071367715,4.4657764285470885
896,0,16,458.0,465.9933724905269,12.793372490526906,5.117348996210765
903,1,3,1095.0,1104.1217401718304,13.921740171830326,5.568696068732133
904,1,16,1062.351669867347,1067.0687163762595,9.517046508912571,3.80681860356503
905,0,14,423.0,432.100902221014,13.900902221014011,5.560360888405607
908,1,11,1053.0,1059.0506988571715,10.850698857171384,4.340279542868556
910,0,19,447.0,455.95664123758837,13.756641237588386,5.502656495035358
915,0,9,434.0,442.35508180904736,13.155081809047342,5.2620327236189395
916,0,8,470.0,478.99937751469326,13.799377514693267,5.51975100587731
920,1,3,1056.3141994285713,1063.4939135442366,11.979714115665438,4.791885646266177
923,1,22,1015.0,1018.9689747024817,8.768974702481692,3.5075898809926787
926,0,19,432.0,436.9018316408968,9.701831640896751,3.880732656358702
928,1,20,1065.0,1070.8851785991458,10.685178599145843,4.274071439658339
937,1,15,1046.7258028816327,1052.3408482580382,10.415045376405436,4.166018150562176
944,1,23,1046.0,1055.1197218892953,13.91972188929525,5.567888755718102
946,1,14,1031.350878877551,1040.741661154807,14.190782277255936,5.676312910902377
947,0,13,603.3603017142857,611.8871736846373,13.326871970351661,5.330748788140667
948,0,3,793.6000888979592,802.1199048491842,13.319815951224996,5.327926380490001
950,0,12,440.0,449.2648490945003,14.064849094500254,5.625939637800104
951,1,17,1174.0,1181.9206934431108,12.720693443110912,5.088277377244367
958,0,13,497.3604525714286,502.4886617317224,9.928209160293807,3.9712836641175246
959,0,17,439.0,448.31100282677136,14.11100282677134,5.644401130708538
961,1,8,1322.3500097653061,1326.9005525999216,9.350542834615439,3.740217133846177
962,0,15,457.7558339285714,465.1935847373751,12.237750808803696,4.895100323521481
963,1,14,944.0000404081633,947.403672553537,8.20363214537382,3.2814528581495295
964,1,11,1065.0,1071.9161540654281,11.716154065428043,4.686461626171219
965,0,24,433.0,441.8421817317131,13.64218173171307,5.456872692685231
966,0,11,820.0,827.0939341481454,11.893934148145462,4.757573659258187
971,1,16,618.0,621.2310884272478,8.0310884272478,3.212435370899122
975,0,8,807.0,814.7701456024853,12.570145602485285,5.028058240994116
976,1,17,1021.0,1025.8967151849304,9.69671518493039,3.878686073972158
977,1,23,1075.0,1083.665869852291,13.465869852291167,5.386347940916469
984,1,4,1048.0,1050.9142882439069,7.714288243906957,3.085715297562784
986,0,14,456.0,464.60865591479956,13.408655914799539,5.363462365919818
993,1,17,1045.7539229591837,1054.0338437139787,13.079920754795147,5.231968301918061
995,1,12,845.0,850.6176484588425,10.417648458842462,4.167059383536987
1001,0,16,968.0,976.9428756553663,13.742875655366241,5.497150262146499
1005,1,21,1045.0,1053.038161289656,12.838161289656052,5.135264515862423
1007,0,15,463.0,471.9269618594439,13.726961859443936,5.490784743777577
1009,1,15,1048.754613265306,1052.2648079723367,8.310194707030778,3.324077882812313
1011,1,10,1052.312488142857,1056.3125782837062,8.800090140849168,3.5200360563396687
1013,1,3,1008.3017254285714,1016.7185660145609,13.216840585989488,5.286736234395797
1015,1,4,1054.0,1056.9328877276837,7.732887727683666,3.0931550910734678
1022,0,24,765.0,774.3526118518622,14.152611851862233,5.661044740744896
1025,0,9,416.0,424.06183423062555,12.861834230625542,5.144733692250219
1029,1,24,1042.0,1044.9602219580793,7.760221958079235,3.1040887832316955
1030,0,22,441.0,450.22183839654895,14.021838396548937,5.608735358619577
1031,1,7,1048.0,1052.8088769126516,9.60887691265167,3.84355076506067
1032,0,1,439.0,448.2135231711114,14.013523171111373,5.605409268444552
1034,1,16,1064.0,1066.5890420658088,7.389042065808884,2.955616826323555
1035,1,4,1051.0,1057.0908884991354,10.890888499135373,4.356355399654151
1036,0,19,441.0,448.4296409182986,12.2296409182986,4.891856367319442
1038,0,3,460.0,469.1075790497803,13.907579049780333,5.5630316199121355
1039,1,24,1039.0,1045.9434285787272,11.74342857872724,4.6973714314908985
1042,0,10,475.0,484.05586785120795,13.855867851207982,5.542347140483195
1046,1,15,1035.7518267857142,1040.570461116516,9.618634330801925,3.847453732320772
1047,0,16,444.0,452.0993570811949,12.899357081194939,5.159742832477978
1048,0,17,471.0,478.00181815697505,11.801818156975052,4.720727262790024
1049,1,8,1066.0,1071.436916237937,10.236916237937027,4.094766495174813
1052,0,13,997.3601885714286,1005.5911891330223,13.031000561593721,5.212400224637491
1053,1,23,1058.0,1063.0628076729136,9.862807672913624,3.9451230691654513
1055,0,20,1091.0,1099.6127111152882,13.412711115288225,5.365084446115293
1057,1,21,1122.0,1126.6178614451044,9.417861445104494,3.7671445780417994
1061,0,8,1163.0,1172.0245443117315,13.824544311731444,5.52981772469258
1062,0,5,466.0,475.16803051613994,13.96803051613993,5.587212206455974
1065,1,3,1051.3128982857143,1059.888061652497,13.375163366782852,5.350065346713143
1067,0,9,453.0,462.1159989734188,13.915998973418795,5.566399589367521
1070,1,22,1046.0,1052.5250081578365,11.325008157836463,4.530003263134587
1072,1,21,1162.8000431020407,1169.5475825460967,11.547539444055964,4.619015777622388
1075,0,16,448.0,457.5893238957166,14.389323895716604,5.755729558286644
1081,0,17,444.0,453.5997050990843,14.399705099084331,5.759882039633735
1082,1,1,1004.0,1012.6343568006735,13.43435680067345,5.373742720269383
1084,0,17,462.75313163265304,472.0380115246703,14.084879892017286,5.633951956806917
1086,1,2,1040.0,1049.253868279979,14.053868279979,5.621547311991603
1088,1,16,1069.8009482448979,1078.9185668891807,13.917618644282948,5.567047457713182
1094,1,22,1046.0,1048.8777486708475,7.677748670847601,3.0710994683390416
1096,1,5,1084.0,1093.0007103990426,13.80071039904276,5.520284159617106
1097,0,15,479.0,486.177805500131,11.977805500131007,4.791122200052405
1099,1,6,1076.6022224489795,1084.461423535309,12.659201086329341,5.063680434531739
